"anio","mes","division","indice"
2013,1,3,88.4832862132047
2013,1,4,82.0196093569057
2013,1,5,81.7008352315869
2013,1,6,78.1968653874322
2013,1,7,78.3270785219399
2013,1,8,90.340551711744
2013,1,9,80.6461467959978
2013,1,10,95.5495174739998
2013,1,11,72.0764196469888
2013,1,12,83.712535144838
2013,1,13,79.7569317229879
2013,2,1,43.3158701307958
2013,2,2,79.2535590611773
2013,2,3,88.6495925494761
2013,2,4,82.7144290897861
2013,2,5,81.7691723614274
2013,2,6,78.4092573604804
2013,2,7,79.5972863741339
2013,2,8,90.430407044658
2013,2,9,80.936378217368
2013,2,10,95.6151035322777
2013,2,11,72.3144047068156
2013,2,12,83.6648784491856
2013,2,13,80.033058902545
2013,3,1,43.7542321536761
2013,3,2,79.1150442477876
2013,3,3,88.8075835689339
2013,3,4,83.3474870686327
2013,3,5,81.8223234624145
2013,3,6,78.5410868609931
2013,3,7,79.6838914549653
2013,3,8,90.4214215113666
2013,3,9,80.9822042312686
2013,3,10,95.830600580905
2013,3,11,72.367290275666
2013,3,12,83.5762071941714
2013,3,13,80.2699652295247
2013,4,1,43.9217363412808
2013,4,2,78.9688341669873
2013,4,3,89.0237818060868
2013,4,4,83.6485756195475
2013,4,5,81.9514047076689
2013,4,6,78.7241833894829
2013,4,7,79.0776558891454
2013,4,8,90.4483781112408
2013,4,9,80.989841900252
2013,4,10,95.9805115712545
2013,4,11,72.5061148938983
2013,4,12,83.5285614646795
2013,4,13,80.5661327257616
2013,5,1,44.1783385010157
2013,5,2,79.2997306656406
2013,5,3,89.1318809246632
2013,5,4,83.903342854937
2013,5,5,82.1488230827638
2013,5,6,78.8779844734143
2013,5,7,78.8755773672055
2013,5,8,90.4483781112408
2013,5,9,81.1731459558542
2013,5,10,96.008619881945
2013,5,11,72.6052753354928
2013,5,12,83.4526812288222
2013,5,13,80.751031988654
2013,6,1,44.7271820093374
2013,6,2,79.3459022701038
2013,6,3,89.2732413104939
2013,6,4,84.9455724542577
2013,6,5,82.2095671981776
2013,6,6,79.0830525853229
2013,6,7,79.0560046189376
2013,6,8,90.4034504447839
2013,6,9,80.8981898724509
2013,6,10,96.008619881945
2013,6,11,72.7969855225755
2013,6,12,83.33974320336
2013,6,13,81.0474339823759
2013,7,1,44.9231975480238
2013,7,2,79.2227779915352
2013,7,3,89.464493597206
2013,7,4,84.9841735505288
2013,7,5,82.3234624145786
2013,7,6,79.2515013915336
2013,7,7,79.8065819861431
2013,7,8,90.3675083116182
2013,7,9,81.1044069350034
2013,7,10,96.1116836878103
2013,7,11,72.763932042044
2013,7,12,83.3556360793511
2013,7,13,81.2513133079143
2013,8,1,44.9766563313019
2013,8,2,78.8072335513659
2013,8,3,89.5143854980874
2013,8,4,84.6290434648344
2013,8,5,82.4069855732725
2013,8,6,79.3760070309066
2013,8,7,80.513856812933
2013,8,8,90.3675083116182
2013,8,9,81.2724356526388
2013,8,10,96.0929448140166
2013,8,11,73.0151384940834
2013,8,12,83.2109342342277
2013,8,13,81.4318062538753
2013,9,1,45.2475141665775
2013,9,2,78.5917660638707
2013,9,3,89.5892233494096
2013,9,4,84.9764533312745
2013,9,5,82.6119969627942
2013,9,6,79.5371319759777
2013,9,7,80.4849884526558
2013,9,8,90.3675083116182
2013,9,9,81.3564500114565
2013,9,10,96.0929448140166
2013,9,11,73.0349705824023
2013,9,12,83.057409105865
2013,9,13,81.5717083871277
2013,10,1,45.2653337610036
2013,10,2,78.283955367449
2013,10,3,89.7222684184267
2013,10,4,85.262101443681
2013,10,5,82.6879271070615
2013,10,6,79.6323421707924
2013,10,7,79.2364318706697
2013,10,8,90.385479378201
2013,10,9,81.868173833346
2013,10,10,96.1116836878103
2013,10,11,73.1341310239968
2013,10,12,83.3658952582216
2013,10,13,81.7314064496913
2013,11,1,46.0422680779785
2013,11,2,78.653328203155
2013,11,3,89.8469981706303
2013,11,4,84.82204894619
2013,11,5,82.8321943811693
2013,11,6,79.7495239490259
2013,11,7,78.2476905311778
2013,11,8,90.3764938449096
2013,11,9,81.761246467578
2013,11,10,96.2709641150566
2013,11,11,73.4778872215244
2013,11,12,84.7808376899184
2013,11,13,81.9221629285416
2013,12,1,46.0672155101749
2013,12,2,78.8303193535975
2013,12,3,89.9384666555795
2013,12,4,85.231220566664
2013,12,5,82.8777524677296
2013,12,6,79.8520580049802
2013,12,7,79.6478060046189
2013,12,8,90.385479378201
2013,12,9,81.9369128541968
2013,12,10,96.2709641150566
2013,12,11,73.5902690553315
2013,12,12,84.9129951425973
2013,12,13,82.0039655043388
2014,1,1,46.224027941124
2014,1,2,79.0611773759138
2014,1,3,90.0631964077831
2014,1,4,85.401065390257
2014,1,5,82.9081245254366
2014,1,6,79.9179727552365
2014,1,7,80.0303117782909
2014,1,8,90.3764938449096
2014,1,9,81.9063621782631
2014,1,10,96.7394359598987
2014,1,11,73.8943610762213
2014,1,12,84.9844801860759
2014,1,13,82.1618330609902
