"anio","mes","r1","r2","r3","r4","r5","r6","r7","r8"
"2014",7,78.9004871259569,48.3922889762306,71.5183246073298,52.8116270596332,73.3454613888715,71.4374379344588,50.2590673575129,66.0670391061452
"2014",8,78.9561586638831,49.1147295526858,71.9556513704958,53.2245658070524,73.7406687158898,71.691906653426,50.5036269430052,66.5307262569832
"2014",9,78.9561586638831,49.0660677521992,72.0234062211272,53.4634225335007,73.6089329402171,71.7229394240318,50.6528497409326,66.5698324022346
"2014",10,78.9004871259569,49.7735354669661,72.1404373267632,54.0423464637059,73.7155761871903,71.5988083416087,50.6735751295337,66.8379888268156
"2014",11,78.8030619345859,50.0243309002433,72.1157991992609,54.0302012064289,74.0104133994103,71.9525819265144,51.0051813471503,67.0502793296089
"2014",12,78.7404314544189,50.0355605465095,72.0542038805051,54.3621715720011,73.7657612445894,71.7912115193644,50.739896373057,67.1564245810056
"2015",1,78.0097425191371,50.6943664607898,71.9556513704958,54.3621715720011,73.4897434288941,71.5863952333664,50.7316062176166,67.0279329608938
"2015",2,78.2185107863605,51.1660116039678,72.0480443486295,54.5888830411724,73.6842105263158,71.8408639523337,50.8020725388601,67.2625698324022
"2015",3,78.5038274182324,51.102376941793,72.2636279642747,54.6698514230193,73.7657612445894,71.9836146971202,50.8683937823834,67.3351955307263
"2015",4,78.5664578983994,51.6676024705222,72.5408068986757,55.1030322659002,73.9414089454865,72.0642999006951,51.3119170984456,67.5530726256983
"2015",5,78.5107863604732,51.7574396406513,72.4730520480444,55.7021982915671,74.1045103820338,72.1511916583913,51.6766839378238,67.9720670391061
"2015",6,78.5455810716771,52.2328279992514,72.7810286418232,56.0787012671552,74.3679819333793,72.4553128103277,52.1077720207254,68.1508379888268
"2015",7,78.8100208768267,52.8205128205128,72.8980597474592,56.3620906036193,74.8133743177969,72.7470208540218,52.7212435233161,68.4022346368715
"2015",8,78.6847599164927,52.992700729927,73.162919618109,56.8155135419619,74.8572862430212,72.7221946375372,52.820725388601,68.4078212290503
"2015",9,78.6082115518441,52.9552685757065,73.4339390206344,56.7669325128537,74.8886519038956,72.6415094339623,52.7170984455959,68.5586592178771
"2015",10,78.8378566457899,53.3408197641774,73.5140129350169,57.8721509250638,75.1458503230663,73.0635551142006,52.9326424870466,68.8659217877095
"2015",11,79.0605427974948,53.4905483810593,73.8281490606714,58.3863001497915,75.5912427074839,73.3862959285005,53.4466321243523,68.927374301676
"2015",12,79.1927627000696,54.2990829122216,74.4133045888512,58.1110076515121,76.0805470171257,73.6283515392254,54.0310880829015,69.195530726257
"2016",1,79.4850382741823,55.3022646453304,74.8814290113951,58.5239463989312,76.9462392572612,74.633813306852,54.6901554404145,70.2458100558659
"2016",2,79.5059151009047,55.2161706906233,74.9799815214044,58.9247398890733,76.9211467285616,74.5034756703079,55.639378238342,70.2793296089385
"2016",3,79.9304105775922,55.0028074115665,75.4357868801971,59.309339702846,76.8584154068126,74.3917576961271,55.5440414507772,70.4189944134078
"2016",4,80.0835073068894,54.7482687628673,75.3926701570681,59.6979879357111,76.9901511824854,74.4600297914598,55.900518134715,70.1620111731844
"2016",5,80.3131524008351,55.3247239378626,75.7314444102248,60.0906845876685,76.9713317859607,74.6710526315789,56.6632124352332,70.4245810055866
"2016",6,80.7098121085595,55.5979786636721,76.1379735140129,60.5441075260111,77.2159839407816,74.6586395233366,56.9906735751295,71.1675977653631
"2016",7,80.821155184412,57.2225341568407,76.2426855558978,61.001578883446,77.2787152625306,75.1861966236346,57.9937823834197,72.195530726257
"2016",8,80.883785664579,57.1813587871982,76.3658761934093,61.2525808671714,77.7241076469481,75.3599801390268,57.9025906735751,72.7653631284916
"2016",9,80.8489909533751,56.7770915216171,76.5321835540499,60.7951095097364,77.5735524747506,75.3785998013903,57.3512953367876,73.0502793296089
"2016",10,81.1412665274878,56.9605090772974,76.7539267015707,62.588559167645,77.8934822156703,75.5399702085402,58.3046632124352,73.6480446927374
"2016",11,81.2386917188587,56.9829683698297,76.6738527871882,62.7707380268005,78.0440373878678,75.7075471698113,59.8217616580311,73.5251396648045
"2016",12,81.3152400835073,56.9567658618754,76.8586387434555,62.6857212258613,78.2949626748636,75.490317775571,59.8673575129534,73.1005586592179
"2017",1,81.5796798886569,57.7465843159274,77.376039421004,63.1310473260192,78.5207954331598,75.6641012909632,60.6715025906736,72.9385474860335
"2017",2,81.8371607515658,57.8663672094329,77.6162611641515,63.4306303388527,78.6337118123079,75.9992552135055,60.8248704663212,73.5474860335195
"2017",3,81.8093249826026,58.031068688003,77.696335078534,64.8475770211732,78.6713506053573,75.9433962264151,61.1191709844559,73.5865921787709
"2017",4,82.0111343075853,58.9107243121842,77.9858330766862,64.7342212865876,78.9473684210526,76.1109731876862,61.0072538860104,74.3016759776536
"2017",5,82.0111343075853,59.4534905483811,78.0289497998152,65.4588883041172,78.9599146854024,76.2847567030784,61.4507772020725,74.2793296089386
"2017",6,82.2825330549756,60.4641587123339,78.0782260548198,67.5154852030282,79.4931309202685,76.5640516385303,62.3626943005181,75.5195530726257
"2017",7,82.7279053583855,63.0844095077672,78.5525100092393,68.3251690214971,80.7916692804717,78.1156901688183,63.7512953367876,77.5642458100559
"2017",8,82.8531663187196,63.4549878345499,78.5894672004928,67.1430306465325,80.8544006022207,77.5074478649454,63.2663212435233,77.0391061452514
"2017",9,82.8531663187196,62.2159835298522,78.3307668617185,67.0944496174244,80.1894485916818,76.880585898709,62.8476683937824,75.6424581005587
"2017",10,82.9297146833681,63.4811903425042,78.3430859254697,68.3616047933282,79.9322501725111,76.9985104270109,64.0414507772021,75.7988826815643
