"indice","anio","mes"
58.2367787082712,2011,2
58.7415395204772,2011,3
59.177469312837,2011,4
59.4700011471837,2011,5
59.7854766548124,2011,6
60.3533325685442,2011,7
60.7146954227372,2011,8
60.6745439944935,2011,9
60.6516003212114,2011,10
60.7835264425835,2011,11
60.9154525639555,2011,12
60.9728117471607,2012,1
61.2768154181484,2012,2
61.4775725593668,2012,3
61.7070092921877,2012,4
61.787312148675,2012,5
61.8618790868418,2012,6
62.0798439830217,2012,7
62.3609039807273,2012,8
62.664907651715,2012,9
62.6821154066766,2012,10
62.6763794883561,2012,11
63.014798669267,2012,12
63.3245382585752,2013,1
63.8407709074223,2013,2
64.14477457841,2013,3
64.2537570264999,2013,4
64.4258345761156,2013,5
64.8273488585523,2013,6
65.02237008145,2013,7
65.1141447745784,2013,8
65.3034300791557,2013,9
65.2862223241941,2013,10
65.5787541585408,2013,11
65.7795112997591,2013,12
65.9458529310543,2014,1
66.0777790524263,2014,2
66.2269129287599,2014,3
66.3531031318114,2014,4
66.502237008145,2014,5
66.8578639440174,2014,6
67.2421704714925,2014,7
67.5232304691981,2014,8
67.5576459791213,2014,9
67.6608925088907,2014,10
67.7928186302627,2014,11
67.7182516920959,2014,12
67.4773431226339,2015,1
67.6895721004933,2015,2
67.8329700585064,2015,3
68.0624067913273,2015,4
68.2000688310198,2015,5
68.4524492371229,2015,6
68.8023402546748,2015,7
68.848227601239,2015,8
68.8252839279569,2015,9
69.1694390271882,2015,10
69.4963863714581,2015,11
69.7946541241253,2015,12
70.4313410577033,2016,1
70.5804749340369,2016,2
70.72387289205,2016,3
70.844327176781,2016,4
71.1712745210508,2016,5
71.4867500286796,2016,6
71.9800390042446,2016,7
72.1119651256166,2016,8
71.962831249283,2016,9
72.4618561431685,2016,10
72.7429161408741,2016,11
72.7486520591947,2016,12
73.1272226683492,2017,1
73.3738671561317,2017,2
73.5516806240679,2017,3
73.7409659286452,2017,4
73.9704026614661,2017,5
74.6070895950442,2017,6
75.7370655041872,2017,7
75.5133646896868,2017,8
75.1003785706092,2017,9
75.5076287713663,2017,10
76.1557875415854,2017,11
76.8785132499713,2017,12
76.5745095789836,2018,1
76.4196397843295,2018,2
76.5974532522657,2018,3
76.6318687621888,2018,4
76.9932316163818,2018,5
77.4348973270621,2018,6
77.7102214064472,2018,7
78.0543765056786,2018,8
78.5189858896409,2018,9
78.782838132385,2018,10
78.5534013995641,2018,11
78.6566479293335,2018,12
79.7177928186303,2019,1
79.8267752667202,2019,2
79.7923597567971,2019,3
80.274176895721,2019,4
80.4864058735804,2019,5
81.151772398761,2019,6
81.1058850521969,2019,7
80.406103017093,2019,8
79.9357577148102,2019,9
80.4921417919009,2019,10
80.8477687277733,2019,11
81.3353217850178,2019,12
81.14030056212,2020,1
80.8133532178502,2020,2
81.2033956636458,2020,3
81.7827234140186,2020,4
81.9375932086727,2020,5
83.0905127910979,2020,6
83.4404038086498,2020,7
83.7730870712401,2020,8
83.9050131926121,2020,9
84.7940805322932,2020,10
85.2644258345761,2020,11
85.2586899162556,2020,12
85.3906160376276,2021,1
85.6602041986922,2021,2
85.9470001147184,2021,3
86.0387748078467,2021,4
86.1764368475393,2021,5
86.3370425605139,2021,6
86.6238384765401,2021,7
86.8016519444763,2021,8
86.985201330733,2021,9
87.3006768383618,2021,10
87.7251347940805,2021,11
87.8742686704141,2021,12
87.839853160491,2022,1
88.212687851325,2022,2
89.5319490650453,2022,3
90.0137662039693,2022,4
91.1896294596765,2022,5
92.8587816909487,2022,6
93.8625673970403,2022,7
94.5049902489389,2022,8
94.8434094298497,2022,9
95.7726281977745,2022,10
95.7668922794539,2022,11
95.9905930939543,2022,12
96.3519559481473,2023,1
96.9656992084433,2023,2
97.3327979809568,2023,3
97.4991396122519,2023,4
97.1492485947,2023,5
97.4360445107262,2023,6
98.1186187908684,2023,7
98.7323620511644,2023,8
99.2887461282551,2023,9
100.54491224045,2023,10
99.8852816335895,2023,11
100,2023,12
100.026405874794,2024,1
100.165959499632,2024,2
100.476751145902,2024,3
100.772568923095,2024,4
100.801276308056,2024,5
100.962208192676,2024,6
101.829050400828,2024,7
